,date_g,debt
0,2015-05-10,47
1,2015-05-17,42
2,2015-05-24,39
3,2015-05-31,40
4,2015-06-07,37
5,2015-06-14,46
6,2015-06-21,44
7,2015-06-28,87
8,2015-07-05,82
9,2015-07-12,56
10,2015-07-19,49
11,2015-07-26,44
12,2015-08-02,48
13,2015-08-09,52
14,2015-08-16,47
15,2015-08-23,52
16,2015-08-30,48
17,2015-09-06,54
18,2015-09-13,62
19,2015-09-20,53
20,2015-09-27,55
21,2015-10-04,57
22,2015-10-11,63
23,2015-10-18,59
24,2015-10-25,65
25,2015-11-01,63
26,2015-11-08,59
27,2015-11-15,61
28,2015-11-22,42
29,2015-11-29,60
30,2015-12-06,64
31,2015-12-13,51
32,2015-12-20,30
33,2015-12-27,31
34,2016-01-03,45
35,2016-01-10,63
36,2016-01-17,55
37,2016-01-24,56
38,2016-01-31,66
39,2016-02-07,73
40,2016-02-14,73
41,2016-02-21,60
42,2016-02-28,58
43,2016-03-06,61
44,2016-03-13,54
45,2016-03-20,49
46,2016-03-27,53
47,2016-04-03,59
48,2016-04-10,62
49,2016-04-17,59
50,2016-04-24,61
51,2016-05-01,66
52,2016-05-08,60
53,2016-05-15,47
54,2016-05-22,43
55,2016-05-29,38
56,2016-06-05,49
57,2016-06-12,41
58,2016-06-19,38
59,2016-06-26,47
60,2016-07-03,35
61,2016-07-10,39
62,2016-07-17,48
63,2016-07-24,58
64,2016-07-31,40
65,2016-08-07,39
66,2016-08-14,36
67,2016-08-21,35
68,2016-08-28,43
69,2016-09-04,43
70,2016-09-11,48
71,2016-09-18,47
72,2016-09-25,75
73,2016-10-02,55
74,2016-10-09,63
75,2016-10-16,75
76,2016-10-23,59
77,2016-10-30,56
78,2016-11-06,79
79,2016-11-13,65
80,2016-11-20,44
81,2016-11-27,66
82,2016-12-04,62
83,2016-12-11,58
84,2016-12-18,36
85,2016-12-25,31
86,2017-01-01,41
87,2017-01-08,52
88,2017-01-15,69
89,2017-01-22,73
90,2017-01-29,62
91,2017-02-05,56
92,2017-02-12,56
93,2017-02-19,66
94,2017-02-26,72
95,2017-03-05,59
96,2017-03-12,62
97,2017-03-19,57
98,2017-03-26,50
99,2017-04-02,56
100,2017-04-09,50
101,2017-04-16,56
102,2017-04-23,58
103,2017-04-30,60
104,2017-05-07,50
105,2017-05-14,44
106,2017-05-21,40
107,2017-05-28,33
108,2017-06-04,36
109,2017-06-11,38
110,2017-06-18,37
111,2017-06-25,36
112,2017-07-02,32
113,2017-07-09,35
114,2017-07-16,37
115,2017-07-23,38
116,2017-07-30,39
117,2017-08-06,38
118,2017-08-13,35
119,2017-08-20,44
120,2017-08-27,41
121,2017-09-03,51
122,2017-09-10,53
123,2017-09-17,56
124,2017-09-24,64
125,2017-10-01,61
126,2017-10-08,52
127,2017-10-15,53
128,2017-10-22,45
129,2017-10-29,53
130,2017-11-05,47
131,2017-11-12,56
132,2017-11-19,39
133,2017-11-26,60
134,2017-12-03,62
135,2017-12-10,56
136,2017-12-17,47
137,2017-12-24,33
138,2017-12-31,37
139,2018-01-07,47
140,2018-01-14,46
141,2018-01-21,55
142,2018-01-28,58
143,2018-02-04,69
144,2018-02-11,59
145,2018-02-18,50
146,2018-02-25,51
147,2018-03-04,48
148,2018-03-11,50
149,2018-03-18,53
150,2018-03-25,46
151,2018-04-01,48
152,2018-04-08,57
153,2018-04-15,54
154,2018-04-22,54
155,2018-04-29,54
156,2018-05-06,48
157,2018-05-13,39
158,2018-05-20,33
159,2018-05-27,39
160,2018-06-03,40
161,2018-06-10,41
162,2018-06-17,42
163,2018-06-24,44
164,2018-07-01,35
165,2018-07-08,37
166,2018-07-15,40
167,2018-07-22,43
168,2018-07-29,54
169,2018-08-05,41
170,2018-08-12,41
171,2018-08-19,39
172,2018-08-26,41
173,2018-09-02,46
174,2018-09-09,58
175,2018-09-16,55
176,2018-09-23,56
177,2018-09-30,55
178,2018-10-07,51
179,2018-10-14,62
180,2018-10-21,59
181,2018-10-28,55
182,2018-11-04,55
183,2018-11-11,49
184,2018-11-18,41
185,2018-11-25,55
186,2018-12-02,60
187,2018-12-09,57
188,2018-12-16,46
189,2018-12-23,35
190,2018-12-30,46
191,2019-01-06,59
192,2019-01-13,59
193,2019-01-20,53
194,2019-01-27,55
195,2019-02-03,53
196,2019-02-10,80
197,2019-02-17,60
198,2019-02-24,54
199,2019-03-03,54
200,2019-03-10,47
201,2019-03-17,45
202,2019-03-24,48
203,2019-03-31,52
204,2019-04-07,49
205,2019-04-14,45
206,2019-04-21,55
207,2019-04-28,56
208,2019-05-05,51
209,2019-05-12,45
210,2019-05-19,45
211,2019-05-26,32
212,2019-06-02,42
213,2019-06-09,42
214,2019-06-16,43
215,2019-06-23,46
216,2019-06-30,36
217,2019-07-07,40
218,2019-07-14,50
219,2019-07-21,54
220,2019-07-28,46
221,2019-08-04,41
222,2019-08-11,46
223,2019-08-18,51
224,2019-08-25,41
225,2019-09-01,39
226,2019-09-08,46
227,2019-09-15,46
228,2019-09-22,51
229,2019-09-29,49
230,2019-10-06,49
231,2019-10-13,47
232,2019-10-20,52
233,2019-10-27,51
234,2019-11-03,52
235,2019-11-10,48
236,2019-11-17,52
237,2019-11-24,37
238,2019-12-01,53
239,2019-12-08,47
240,2019-12-15,45
241,2019-12-22,27
242,2019-12-29,35
243,2020-01-05,47
244,2020-01-12,47
245,2020-01-19,50
246,2020-01-26,56
247,2020-02-02,57
248,2020-02-09,63
249,2020-02-16,59
250,2020-02-23,57
251,2020-03-01,52
252,2020-03-08,58
253,2020-03-15,72
254,2020-03-22,100
255,2020-03-29,65
256,2020-04-05,71
257,2020-04-12,79
258,2020-04-19,79
259,2020-04-26,70
